name,calories,allergens,protein_g,fiber_g,carbs_g,sodium_mg,meal_type,cuisine,is_vegetarian,is_vegan,availability_regions
Green Salad,90,0,3,4,12,80,snack,Mediterranean,true,true,Europe
Chicken Noodle Soup,200,"gluten",18,2,15,380,lunch,American,false,false,North America
Baked Beans,240,0,12,12,45,480,snack,American,true,true,North America
Grilled Chicken Salad,280,0,35,5,10,220,lunch,Mediterranean,false,false,"Mediterranean;Europe"
Roasted Chicken,340,0,38,0,0,320,dinner,American,false,false,North America
Cucumber Salad,60,0,2,2,12,150,snack,Mediterranean,true,true,Europe
Pork Stir Fry,380,soy,32,3,18,400,dinner,Asian,false,false,Asia
Carrot Sticks,35,0,1,2,8,42,snack,American,true,true,North America
Turkey Chili,290,0,25,8,22,380,dinner,American,false,false,North America
Grilled Turkey Breast,350,0,40,0,0,250,dinner,American,false,false,North America
Beef Meatballs,400,0,35,1,12,350,lunch,European,false,false,Europe
Roasted Brussels Sprouts,90,0,4,5,14,60,snack,European,true,true,Europe
Quinoa Chicken Salad,420,0,38,6,25,300,lunch,American,false,false,"North America;Europe"
Baked Cod,310,fish,35,0,0,220,dinner,European,false,false,Europe
Sweet Cornbread,200,"gluten;dairy",6,3,30,220,breakfast,American,true,false,North America
Roast Beef Sandwich,450,gluten,38,4,40,450,lunch,American,false,false,North America
Brie Cheese Platter,320,dairy,20,0,5,400,snack,European,true,false,Europe
Grilled Asparagus,50,0,3,4,4,10,snack,European,true,true,Europe
Chicken Pot Pie,480,"gluten;dairy;egg",35,3,30,500,dinner,American,false,false,North America
Mussels in White Wine,360,"fish;dairy",32,0,10,280,dinner,European,false,false,Europe
Cauliflower Mash,110,0,4,5,10,20,snack,American,true,true,"North America;Europe"
Beef Stroganoff,520,dairy,40,2,30,450,dinner,European,false,false,Europe
Grilled Salmon Salad,410,"fish;none",38,5,20,300,lunch,American,false,false,"North America;Europe"
Apple Crisp,300,"dairy;gluten",5,4,45,250,dessert,American,true,false,North America
Potato Leek Soup,220,dairy,6,4,30,150,lunch,European,true,false,Europe
Turkey Meatloaf,430,0,40,1,10,350,dinner,American,false,false,North America
Mediterranean Pasta,480,gluten,14,6,70,380,dinner,European,true,false,Europe
Vegetable Lasagna,420,"dairy;gluten",18,8,50,420,dinner,European,true,false,Europe
Pancakes with Maple Syrup,380,"gluten;egg;dairy",10,2,45,300,breakfast,American,true,false,North America
Rustic Rye Bread,200,gluten,7,5,40,180,snack,European,true,true,Europe
Shrimp Scampi,430,"fish;dairy",38,0,8,350,dinner,American,false,false,North America
Greek Yogurt with Honey,180,dairy,12,1,15,90,snack,European,true,false,Europe
Chicken Caesar Salad,360,"dairy;egg",30,3,12,400,lunch,American,false,false,North America
Beef and Vegetable Stew,470,0,40,6,20,300,dinner,European,false,false,Europe
Mashed Sweet Potatoes,200,0,4,5,37,35,snack,American,true,true,"North America;Europe"
Roast Duck,520,0,45,0,0,390,dinner,European,false,false,Europe
Grilled Portobello Mushrooms,150,0,8,7,10,20,snack,American,true,true,North America
Egg Salad Sandwich,410,"gluten;egg;dairy",15,3,30,330,lunch,American,true,false,North America
Vegetarian Chili,350,0,18,15,40,250,dinner,American,true,true,"North America;Europe"
Vegan Lentil Soup,320,None,22,15,40,250,dinner,European,true,true,Europe
Quinoa & Black Bean Salad,350,None,20,12,45,180,lunch,European,true,true,Europe
Roasted Vegetable Medley,180,None,5,8,22,140,snack,European,true,true,Europe
Chickpea & Spinach Curry,400,None,18,14,35,270,dinner,Indian,true,true,Europe
Sweet Potato & Kale Hash,300,None,12,10,38,200,breakfast,European,true,true,Europe
Stuffed Bell Peppers (Quinoa & Veggies),360,None,15,11,40,230,lunch,European,true,true,Europe
Cauliflower & Pea Masala,340,None,14,13,30,210,dinner,European,true,true,Europe
Berry & Oat Smoothie Bowl,270,None,8,9,42,80,breakfast,European,true,true,Europe
Zucchini Noodles with Pesto (nut-free),280,None,10,7,28,150,lunch,European,true,true,Europe
Maple Roasted Brussels Sprouts,120,None,4,10,16,90,snack,European,true,true,Europe
Lentil Soup,280,0,12,9,35,100,dinner,Mediterranean,true,true,"Europe;Mediterranean"
Vegan Buddha Bowl,400,0,18,10,35,150,lunch,American,true,true,"North America;Europe"
Ratatouille,220,0,5,10,25,150,dinner,French,true,true,Europe
Vegan Lentil Salad,350,0,22,11,35,180,lunch,European,true,true,Europe
Minestrone Soup,310,0,13,8,40,170,lunch,Italian,true,true,Europe
Roasted Vegetables,140,0,5,6,22,180,snack,Mediterranean,true,true,Europe
Bruschetta,290,"gluten;dairy",8,4,18,220,starter,Italian,true,false,Europe
Grilled Asparagus,50,0,3,4,4,10,snack,European,true,true,Europe
Cauliflower Mash,110,0,4,5,10,20,snack,American,true,true,"North America;Europe"
Roasted Brussels Sprouts,90,0,4,5,14,60,snack,European,true,true,Europe
Quinoa & Black Bean Salad,350,0,20,12,45,180,lunch,European,true,true,Europe
Chickpea & Spinach Curry,400,0,18,14,35,270,dinner,Indian,true,true,Europe
Sweet Potato & Kale Hash,300,0,12,10,38,200,breakfast,European,true,true,Europe
Stuffed Bell Peppers,360,0,15,11,40,230,lunch,European,true,true,Europe
Cauliflower & Pea Masala,340,0,14,13,30,210,dinner,European,true,true,Europe
Berry & Oat Smoothie Bowl,270,0,8,9,42,80,breakfast,European,true,true,Europe
Zucchini Noodles with Pesto,280,0,10,7,28,150,lunch,European,true,true,Europe
Maple Roasted Brussels Sprouts,120,0,4,10,16,90,snack,European,true,true,Europe
Roasted Vegetable Medley,180,None,5,8,22,140,snack,European,true,true,Europe
Quinoa & Black Bean Salad,350,None,20,12,45,180,lunch,European,true,true,Europe
Vegan Lentil Soup,320,None,22,15,40,250,dinner,European,true,true,Europe
Minestrone Soup,310,None,13,8,40,170,lunch,Italian,true,true,Europe
Stuffed Bell Peppers (Quinoa & Veggies),360,None,15,11,40,230,lunch,European,true,true,Europe
Sweet Potato & Kale Hash,300,None,12,10,38,200,breakfast,European,true,true,Europe
Cauliflower & Pea Masala,340,None,14,13,30,210,dinner,European,true,true,Europe
Berry & Oat Smoothie Bowl,270,None,8,9,42,80,breakfast,European,true,true,Europe
Zucchini Noodles with Pesto (nut-free),280,None,10,7,28,150,lunch,European,true,true,Europe
Maple Roasted Brussels Sprouts,120,None,4,10,16,90,snack,European,true,true,Europe
Vegan Lentil Soup,320,0,22,15,40,250,dinner,European,true,true,Europe
Quinoa & Black Bean Salad,350,0,20,12,45,180,lunch,European,true,true,Europe
Roasted Vegetable Medley,180,0,5,8,22,140,snack,European,true,true,Europe
Chickpea & Spinach Curry,400,0,18,14,35,270,dinner,European,true,true,Europe
Sweet Potato & Kale Hash,300,0,12,10,38,200,breakfast,European,true,true,Europe
Stuffed Bell Peppers,360,0,15,11,40,230,lunch,European,true,true,Europe
Cauliflower & Pea Masala,340,0,14,13,30,210,dinner,European,true,true,Europe
Berry & Oat Smoothie Bowl,270,0,8,9,42,80,breakfast,European,true,true,Europe
Zucchini Noodles with Pesto,280,0,10,7,28,150,lunch,European,true,true,Europe
Maple Roasted Brussels Sprouts,120,0,4,10,16,90,snack,European,true,true,Europe
